NoStrat,KEY,dataset,fire_year,sample_year,sample_gap_yr,FIRE,plotname,PLOT,ValueFrom,RdNBR,RdNBR_BL,dNBR,dNBR_BL,dNBR_Offset,dNBR_Offset_BL,RBR,RBR_BL,preNBR,lon,lat,elev,slope,aspect,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEV,FIRESEVCODE,FIRESEVNUM,CHARHT,CHARHT_percMax,BOLESCORCH,LITTDUFFMM,SOILCHARMM,CHARCOV,LiveVegCov,Firemort.BA.p,Firemort.trees.p,over1,over2,FieldClass,FieldClass2,under1,under2,ba_ha,stems_ha,RedGrayGreenStage.BA.p,OutbreakStage
All,255,BJH,2008,2010,2,newfork,77,255,Extraction,775,804,382,407,371,396,285,354,0.22917,-109.905,43.0971,2686,2,249,0.757684,23.1,10.85,11.49,crown,d,3,12.4,0.54,0.9,10.1,11.9,0.55,0.18,1,1,PICO,,3,3,,,23.59,2278,0.16,greenattack
All,256,BJH,2008,2010,2,newfork,78,256,Extraction,491,474,281,271,270,260,191,544,0.30233,-109.903,43.0971,2692,5,263,0.795433,22.9,17.23,16.91,sevsurf,c,2,0.9,0.04,0.71,17,5.8,0.14,0.26,1,1,PICO,,3,3,,,28.91,1287,0.02,greenattack
All,257,BJH,2008,2010,2,newfork,79,257,Extraction,675,753,377,426,366,415,267,466,0.29412,-109.908,43.0958,2660,8,291,0.80834,24.6,14.2,14.19,sevsurf,c,2,3.9,0.16,0.74,18.9,8.8,0.09,0.14,1,1,PICO,,3,3,,,28.16,1783,0.03,greenattack
All,258,BJH,2008,2010,2,newfork,80,258,Extraction,1229,1221,645,645,634,634,484,520,0.26667,-109.905,43.0955,2678,8,163,0.813505,23.6,9.88,10.3,crown,d,3,16.7,0.71,1,2.2,16.9,0.76,0.01,1,1,PICO,,3,3,,,22.62,2716,0.09,greenattack
All,259,BJH,2008,2010,2,newfork,81,259,Extraction,961,903,579,527,568,516,406,492,0.3494,-109.903,43.0957,2693,7,255,0.821126,19.9,13.55,13.59,sevsurf,c,2,6.4,0.32,0.88,13.6,12.7,0.25,0.04,1,1,PICO,,3,3,,,29.35,2023,0.03,greenattack
All,260,BJH,2008,2010,2,newfork,82,260,Extraction,1211,1210,703,690,692,679,506,498,0.32609,-109.908,43.094,2668,8,255,0.83346,22.9,15.12,15.62,crown,d,3,18.4,0.8,1,0.6,13.2,0.69,0.1,1,1,PICO,,3,3,,,26.02,1358,0.17,greenattack
All,261,BJH,2008,2010,2,newfork,87,261,Extraction,1147,1087,722,675,711,664,499,209,0.38462,-109.9,43.0935,2685,16,107,0.67656,23.4,12,12,crown,d,3,15.2,0.65,1,8,17,0.54,0.09,1,1,PICO,PIAL,3,3,,,22.37,1981,0,greenattack
All,262,BJH,2008,2010,2,newfork,88,262,Extraction,286,278,148,152,137,141,95,236,0.22892,-109.901,43.0986,2707,5,283,0.786899,25,15.65,15.2,lightsurf,b,1,0.8,0.03,0.38,24.2,10.1,0.07,0.17,0.84,0.66,PICO,,3,3,,,27.19,1500,0.02,greenattack
All,263,BJH,2008,2010,2,newfork,89,263,Extraction,445,487,236,247,225,236,162,164,0.25532,-109.901,43.0971,2711,9,278,0.833823,23.3,12.98,13.09,lightsurf,b,1,2.1,0.09,0.74,15.9,12.7,0.18,0.16,1,1,PICO,,3,3,,,27.01,2009,0.04,greenattack
All,264,BJH,2008,2010,2,newfork,90,264,Extraction,662,542,370,297,359,286,262,237,0.29412,-109.901,43.0953,2718,14,263,0.901552,23.6,10.53,11.23,lightsurf,b,1,3,0.13,0.74,20.9,12.5,0.14,0.19,0.99,0.97,PICO,,3,3,,,25.91,2617,0.15,greenattack
All,265,BJH,2008,2010,2,newfork,92,265,Extraction,1234,1240,759,765,748,754,532,123,0.36709,-109.901,43.1002,2705,3,284,0.764921,22.3,10.08,13.2,crown,d,3,19.6,0.88,1,0.4,7.7,0.57,0.03,1,1,PICO,,3,3,,,21.28,1556,0,greenattack
All,266,BJH,2008,2010,2,newfork,93,266,Extraction,1156,1140,586,576,575,565,445,333,0.24731,-109.903,43.1001,2697,5,282,0.787522,24.7,18.24,18.2,crown,d,3,20.3,0.82,1,1.9,15.4,0.78,0.03,1,1,PICO,,3,3,,,27.23,1047,0.04,greenattack
All,267,BJH,2008,2010,2,newfork,94,267,Extraction,1109,1067,593,580,582,569,440,185,0.275,-109.905,43.1003,2661,12,296,0.830566,22,17.74,17.73,crown,d,3,19,0.86,1,2.9,13.6,0.45,0.04,1,1,PICO,,3,3,,,26.88,1089,0.02,greenattack
All,268,BJH,2008,2010,2,newfork,95,268,Extraction,657,630,395,372,384,361,271,399,0.34146,-109.908,43.1003,2630,10,291,0.825436,24.6,9.99,10.22,sevsurf,c,2,3.2,0.13,0.75,18.5,10.8,0.15,0.17,1,1,PICO,,3,3,,,24.25,2957,0.07,greenattack
All,269,BJH,2008,2010,2,newfork,96,269,Extraction,934,865,646,581,635,570,420,480,0.46269,-109.907,43.1018,2614,16,308,0.814228,22.5,12.39,12.52,sevsurf,c,2,3.9,0.17,0.83,22.5,16.1,0.08,0.12,1,1,PICO,,3,3,,,23.13,1882,0.04,greenattack
All,270,BJH,2008,2010,2,newfork,97,270,Extraction,1280,1264,823,800,812,789,564,388,0.4026,-109.905,43.1019,2643,14,301,0.829387,22.5,15.45,15.59,crown,d,3,19.9,0.88,1,0.8,17,0.67,0.03,1,1,PICO,,3,3,,,25.38,1330,0.07,greenattack
All,271,BJH,2008,2010,2,newfork,98,271,Extraction,1274,1277,638,640,627,629,488,502,0.24211,-109.903,43.1015,2691,9,304,0.794269,22.9,10.95,11.21,crown,d,3,11.7,0.51,1,3.5,27.5,0.74,0.02,1,1,PICO,,3,3,,,24.83,2518,0.07,greenattack
All,272,BJH,2008,2010,2,newfork,99,272,Extraction,1027,1035,661,665,650,654,450,506,0.4,-109.901,43.1015,2703,3,297,0.758756,22.2,16.43,16.79,sevsurf,c,2,9,0.41,0.99,9.2,15.6,0.38,0.12,1,1,PICO,,3,3,,,29.1,1316,0.1,greenattack
All,273,BJH,2008,2010,2,newfork,100,273,Extraction,1163,1175,732,733,721,722,506,104,0.38462,-109.911,43.094,2639,7,253,0.821031,23.8,10.98,12.18,crown,d,3,21.6,0.91,1,5.4,11,0.56,0.28,1,1,PICO,,3,3,,,29.64,2546,0.21,greenattack
All,274,BJH,2008,2010,2,newfork,101,274,Extraction,1310,1295,708,696,697,685,528,181,0.28395,-109.91,43.0958,2644,3,296,0.759377,21.9,12.06,12.41,crown,d,3,20,0.91,1,3.6,9.6,0.74,0.1,1,1,PICO,,3,3,,,28.04,2320,0.1,greenattack
All,275,BJH,2008,2010,2,newfork,102,275,Extraction,680,704,382,382,371,371,270,278,0.29787,-109.91,43.0972,2637,5,320,0.750579,23.9,14,14,sevsurf,c,2,4.9,0.21,0.92,12.5,15.1,0.25,0.28,1,1,PICO,,3,3,,,18.71,1217,0,greenattack
All,276,BJH,2008,2010,2,newfork,103,276,Extraction,525,572,265,292,254,281,189,516,0.23404,-109.91,43.0994,2613,10,323,0.755106,23,14.45,14.58,sevsurf,c,2,4.3,0.19,0.86,8.4,4.9,0.26,0.13,1,1,PICO,,3,3,,,22.18,1330,0.03,greenattack
All,277,BJH,2008,2010,2,newfork,104,277,Extraction,1305,1289,946,945,935,934,604,430,0.51351,-109.913,43.0946,2638,1,197,0.745041,23.8,13.91,14.12,crown,d,3,19.5,0.82,1,0.7,18.5,0.59,0.4,1,1,PICO,ABLA,3,3,,,34.53,2207,0.04,greenattack
All,278,BJH,2008,2010,2,newfork,105,278,Extraction,1273,1274,712,733,701,722,522,429,0.30337,-109.913,43.0959,2638,2,338,0.73108,22.9,7.67,13.06,crown,d,3,21,0.92,1,1.3,10.2,0.64,0.07,1,1,PICO,,3,3,,,22.55,1684,0.08,greenattack
All,279,BJH,2008,2010,2,newfork,106,279,Extraction,745,720,501,504,490,493,328,266,0.43243,-109.913,43.098,2587,19,325,0.743502,20.6,12.01,12.08,sevsurf,c,2,1.5,0.07,0.77,20.5,11.6,0.1,0.11,1,1,PICO,,3,3,,,36.14,3155,0.02,greenattack
All,280,BJH,2008,2010,2,newfork,107,280,Extraction,1112,1115,757,752,746,741,500,419,0.45,-109.916,43.094,2637,1,347,0.729378,21.1,15.59,15.67,crown,d,3,19.5,0.92,1,5.6,10.3,0.81,0.14,1,1,PICO,,3,3,,,40.63,2108,0.03,greenattack
All,281,BJH,2008,2010,2,newfork,108,281,Extraction,1257,1258,918,894,907,883,583,523,0.52,-109.916,43.0958,2631,12,329,0.738334,21,15.65,15.82,crown,d,3,18.1,0.86,1,2.3,13.4,0.75,0.06,1,1,PICO,,3,3,,,31.4,1599,0.09,greenattack
All,282,BJH,2008,2010,2,newfork,109,282,Extraction,1267,1251,944,924,933,913,591,477,0.54286,-109.916,43.0975,2548,26,358,0.538476,22.9,12.95,13,crown,d,3,19.1,0.83,1,3.7,9.8,0.71,0.02,1,1,PICO,,3,3,,,31.36,2363,0.03,greenattack
All,283,BJH,2008,2010,2,newfork,110,283,Extraction,789,773,590,578,579,567,363,468,0.53846,-109.919,43.0962,2568,25,328,0.709518,21.1,14.94,14.81,sevsurf,c,2,6.6,0.31,0.9,20.4,5.2,0.1,0.03,1,1,PICO,,3,3,,,41.4,2405,0.03,greenattack
All,284,BJH,2008,2010,2,newfork,112,284,Extraction,872,859,520,499,509,488,364,503,0.34091,-109.924,43.0947,2567,21,336,0.683046,25.6,18.37,18.37,sevsurf,c,2,11.3,0.44,0.94,10.1,10.2,0.16,0.25,1,1,PICO,,3,3,,,22.48,849,0,greenattack
All,285,BJH,2008,2010,2,newfork,114,285,Extraction,1190,1207,774,778,763,767,526,510,0.41177,-109.926,43.094,2561,24,329,0.707702,23.3,18.02,18.67,crown,d,3,21,0.9,1,1.8,13.1,0.64,0.22,1,1,PICO,,3,3,,,28.26,1033,0.15,greenattack
All,286,BJH,2008,2010,2,newfork,115,286,Extraction,1286,1262,939,920,928,909,597,292,0.52,-109.911,43.0927,2633,2,270,0.756973,21.4,13.46,13.77,crown,d,3,19.7,0.92,1,0.7,6.9,0.86,0.02,1,1,PICO,,3,3,,,33.49,2249,0.07,greenattack
All,287,BJH,2008,2011,3,gunbarrel,big1,287,Extraction,549,612,245,275,267,297,367,359,0.23636,-109.517,44.5134,2144,18,217,0.902161,23.18,19.73,22.36,crown,d,3,20.25,0.87,1,2.9,0.1,0.42,0.19,1,1,PSME,,2,2,,,34.42,877,0.36,gray
All,296,BJH,2008,2011,3,gunbarrel,big10,296,Extraction,1096,1067,535,526,557,548,375,380,0.25862,-109.511,44.529,2435,15,166,0.860452,26.51,18.55,25.42,crown,d,3,20.41,0.77,1,7.2,1.7,0.21,0.55,1,1,PSME,,2,2,,,43.79,863,0.69,gray
All,297,BJH,2008,2011,3,gunbarrel,big11,297,Extraction,1014,979,418,413,440,435,296,290,0.18868,-109.508,44.5326,2516,17,164,0.871153,27.42,17.51,27.74,sevsurf,c,2,12.95,0.47,1,3.5,0,0.16,0.53,1,1,PSME,,2,2,,,57.26,948,0.68,gray
All,298,BJH,2008,2011,3,gunbarrel,big12,298,Extraction,1117,1129,600,616,622,638,450,460,0.31035,-109.502,44.5291,2362,20,253,0.946552,24.02,18.35,23.28,crown,d,3,20.39,0.85,1,7.7,1,0.2,0.62,1,1,PSME,,2,2,,,43.93,1033,0.57,gray
All,299,BJH,2008,2011,3,gunbarrel,big13,299,Extraction,773,726,317,293,339,315,240,240,0.19231,-109.502,44.5257,2375,32,292,0.910289,23.81,23.34,33.08,sevsurf,c,2,14.05,0.59,1,1.8,0.1,0.15,0.64,1,1,PSME,,2,2,,,52.27,608,0.76,gray
All,300,BJH,2008,2011,3,gunbarrel,big14,300,Extraction,368,327,123,107,145,129,122,129,0.15556,-109.505,44.5229,2283,31,258,1.030232,22.39,21.51,26.17,sevsurf,c,2,12.51,0.56,1,14,0,0.22,0.3,1,1,PSME,,2,2,,,43.35,806,0.64,gray
All,301,BJH,2008,2011,3,gunbarrel,big15,301,Extraction,832,854,337,342,359,364,157,173,0.18681,-109.492,44.521,2428,32,211,1.010877,24.41,17.08,23.25,sevsurf,c,2,6.48,0.27,0.89,8.4,1.4,0.05,0.57,0.83,0.92,PSME,,2,2,,,51.01,1203,0.65,gray
All,302,BJH,2008,2011,3,gunbarrel,big16,302,Extraction,154,138,68,58,90,80,70,81,0.34066,-109.488,44.5183,2453,17,251,0.915924,23.18,23.86,25.18,lightsurf,b,1,0.67,0.03,0.44,27.6,0.2,0.04,0.24,0.36,0.45,PSME,PIFL,2,2,,,57.76,1160,0.19,gray
All,303,BJH,2008,2011,3,gunbarrel,big17,303,Extraction,299,298,123,123,145,145,88,93,0.23404,-109.493,44.5179,2364,12,225,0.83263,29.76,18.56,39.96,lightsurf,b,1,1.56,0.05,0.8,32.2,0.2,0.06,0.73,0.9,0.53,PSME,,2,2,,,65.61,523,0.91,gray
All,304,BJH,2008,2011,3,gunbarrel,big18,304,Extraction,648,649,280,275,302,297,224,222,0.21739,-109.499,44.519,2298,12,182,0.855681,22.73,21.74,26.03,crown,d,3,20.55,0.9,1,6.3,0,0.25,0.29,1,1,PSME,,2,2,,,35.37,665,0.64,gray
All,305,BJH,2008,2011,3,gunbarrel,big19,305,Extraction,810,792,400,376,422,398,254,258,0.27103,-109.504,44.519,2251,17,170,0.886692,23.18,22.35,23.24,crown,d,3,19.71,0.85,1,1.5,0.1,0.38,0.38,1,1,PSME,,2,2,,,26.4,622,0.12,gray
All,288,BJH,2008,2011,3,gunbarrel,big2,288,Extraction,906,910,559,557,581,579,405,415,0.41177,-109.52,44.5159,2150,22,231,0.928367,24.88,16.79,16.97,crown,d,3,22.83,0.92,1,3.5,3.7,0.28,0.58,1,1,PSME,,2,2,,,33.89,1500,0,gray
All,289,BJH,2008,2011,3,gunbarrel,big3,289,Extraction,1084,1085,560,549,582,571,402,398,0.28814,-109.526,44.5235,2321,17,171,0.88891,28.46,28.88,41.65,crown,d,3,22.79,0.8,1,2.8,0.2,0.35,0.49,1,1,PSME,,2,2,,,52.02,382,0.86,gray
All,290,BJH,2008,2011,3,gunbarrel,big4,290,Extraction,1094,1129,402,392,424,414,255,279,0.15044,-109.52,44.5228,2277,8,195,0.813332,22.27,22.79,25.47,sevsurf,c,2,16.64,0.75,1,2.5,4,0.3,0.43,1,1,PSME,,2,2,,,39.62,778,0.76,gray
All,291,BJH,2008,2011,3,gunbarrel,big5,291,Extraction,1080,1036,619,580,641,602,445,431,0.35238,-109.516,44.5202,2242,19,209,0.926195,23.39,19.8,22.89,sevsurf,c,2,16.75,0.72,1,4.4,0.2,0.34,0.32,1,1,PSME,,2,2,,,37.83,920,0.35,gray
All,292,BJH,2008,2011,3,gunbarrel,big6,292,Extraction,756,684,358,309,380,331,315,316,0.25253,-109.512,44.5172,2217,11,139,0.767045,25.86,19.86,31.57,sevsurf,c,2,20.45,0.79,1,10.5,1,0.18,0.55,1,1,PSME,,2,2,,,67.52,863,0.74,gray
All,293,BJH,2008,2011,3,gunbarrel,big7,293,Extraction,349,357,160,162,182,184,142,140,0.27119,-109.512,44.5206,2258,10,149,0.785358,23.81,9.54,19.97,lightsurf,b,1,4.02,0.17,1,14.9,4.8,0.14,0.59,0.99,0.68,PSME,,2,2,,,42.95,1372,0.76,gray
All,294,BJH,2008,2011,3,gunbarrel,big8,294,Extraction,103,225,13,56,35,78,193,178,0.11504,-109.513,44.5243,2330,14,136,0.766599,24.6,21.9,33.42,lightsurf,b,1,3.97,0.16,1,18.3,1.3,0.19,0.37,1,1,PSME,,2,2,,,60.77,693,0.86,gray
All,295,BJH,2008,2011,3,gunbarrel,big9,295,Extraction,658,626,314,286,336,308,289,296,0.2605,-109.509,44.5237,2318,8,180,0.808643,24.88,19.19,26.13,sevsurf,c,2,9.46,0.38,1,4.3,0.4,0.09,0.56,1,1,PSME,,2,2,,,41.72,778,0.63,gray
All,341,BJH,2008,2011,3,gunbarrel,clearwater1,341,Extraction,621,599,229,225,251,247,238,241,0.16327,-109.674,44.476,1992,26,241,0.983443,26.82,12.19,19.44,crown,d,3,20.36,0.76,1,2.9,1.1,0.32,0.4,1,1,PSME,JUSP,1,2,,,28.96,976,0.64,gray
All,350,BJH,2008,2011,3,gunbarrel,clearwater10,350,Extraction,747,669,357,283,379,305,171,185,0.25773,-109.688,44.4932,2053,25,203,0.986278,21.9,12.21,14.67,sevsurf,c,2,12.02,0.55,1,6.8,0.2,0.5,0.12,1,1,PSME,,2,2,,,22.47,1330,0.35,gray
All,351,BJH,2008,2011,3,gunbarrel,clearwater11,351,Extraction,498,479,171,148,193,170,157,133,0.15044,-109.682,44.49,1987,15,81,0.575693,20.31,15.57,16.02,sevsurf,c,2,10.83,0.53,1,5.3,0,0.35,0.1,1,1,PSME,JUSP,1,2,,,19.09,948,0.07,gray
All,352,BJH,2008,2011,3,gunbarrel,clearwater12,352,Extraction,86,159,13,47,35,69,214,212,0.16327,-109.679,44.4947,2118,29,134,0.75299,24.88,9.01,16.89,sevsurf,c,2,5.03,0.2,0.5,16.6,1.8,0.15,0.41,1,0.98,PSME,JUSP,1,2,,,37.09,1655,0.69,gray
All,353,BJH,2008,2011,3,gunbarrel,clearwater13,353,Extraction,589,632,208,220,230,242,115,135,0.15217,-109.681,44.4876,1966,17,81,0.556713,24.79,13.33,23.47,sevsurf,c,2,18.76,0.76,1,12.2,0.6,0.33,0.38,1,1,PSME,JUSP,1,2,,,37.31,863,0.73,gray
All,354,BJH,2008,2011,3,gunbarrel,clearwater14,354,Extraction,712,637,300,258,322,280,236,232,0.2043,-109.676,44.4821,1995,30,157,0.902093,27.42,18.52,27.28,crown,d,3,18.45,0.67,1,4.4,1.3,0.47,0.18,1,1,PSME,,2,2,,,51.25,877,0.66,gray
All,355,BJH,2008,2011,3,gunbarrel,clearwater15,355,Extraction,668,630,248,229,270,251,140,155,0.16327,-109.675,44.479,1961,28,231,0.964591,26.98,13.95,22.04,sevsurf,c,2,18.01,0.67,1,3.6,0,0.26,0.09,1,1,PSME,JUSP,1,2,,,33.46,877,0.67,gray
All,342,BJH,2008,2011,3,gunbarrel,clearwater2,342,Extraction,694,617,245,217,267,239,208,209,0.14852,-109.672,44.4725,1952,24,251,0.982192,25.69,11.73,16.27,crown,d,3,23,0.9,1,3.5,1.6,0.21,0.46,1,1,PSME,JUSP,1,2,,,26.17,1259,0.55,gray
All,343,BJH,2008,2011,3,gunbarrel,clearwater3,343,Extraction,810,780,269,290,291,312,198,232,0.12963,-109.675,44.471,1878,9,72,0.616284,23.61,12.86,17.77,crown,d,3,23,0.97,1,3.3,0.3,0.22,0.36,1,1,PSME,JUSP,1,2,,,27.37,1103,0.58,gray
All,344,BJH,2008,2011,3,gunbarrel,clearwater4,344,Extraction,679,666,330,323,352,345,255,245,0.26857,-109.705,44.5022,2194,31,265,1.021581,26.43,12.9,25.51,crown,d,3,23.09,0.87,1,2,4.1,0.36,0.36,1,1,PSME,JUSP,1,2,,,41.9,821,0.8,gray
All,345,BJH,2008,2011,3,gunbarrel,clearwater5,345,Extraction,677,668,356,350,378,372,305,308,0.31126,-109.698,44.5005,2084,19,124,0.718038,25.25,13.74,13.74,crown,d,3,23.13,0.92,1,5.4,0.1,0.32,0.39,1,1,PSME,JUSP,1,2,,,28.09,1896,0,gray
All,346,BJH,2008,2011,3,gunbarrel,clearwater6,346,Extraction,314,324,178,182,200,204,169,189,0.40594,-109.699,44.4958,2013,3,137,0.729027,25.69,19.71,25.19,lightsurf,b,1,5.06,0.2,0.82,26.9,0.2,0.07,0.6,0.38,0.69,PSME,PICO,2,2,,,22.54,453,0.5,gray
All,347,BJH,2008,2011,3,gunbarrel,clearwater7,347,Extraction,719,683,472,406,494,428,272,231,0.47253,-109.699,44.4918,2028,7,123,0.723579,25.69,13.59,17.14,sevsurf,c,2,12.34,0.48,1,7.4,0.4,0.29,0.39,1,1,PSME,,2,2,,,23.16,1004,0.41,gray
All,348,BJH,2008,2011,3,gunbarrel,clearwater8,348,Extraction,496,540,303,314,325,336,307,283,0.42857,-109.695,44.4933,1989,3,64,0.676149,21.27,15.96,20.38,sevsurf,c,2,19.21,0.9,1,14.1,3.8,0.18,0.55,1,1,PSME,PICO,2,2,,,23.06,707,0.5,gray
All,349,BJH,2008,2011,3,gunbarrel,clearwater9,349,Extraction,400,411,220,216,242,238,298,279,0.36539,-109.689,44.4898,1966,12,203,0.859536,25.34,14.67,15.54,sevsurf,c,2,12.1,0.48,1,17.4,0.1,0.06,0.55,1,1,PSME,PIFL,2,2,,,28.95,1528,0.09,gray
All,17,BJH,2011,2012,1,east,East1,17,Extraction,513,615,311,306,341,336,221,278,0.44186,-115.035,45.8681,1993,19,244,0.913092,21.01,18.14,20.05,sevsurf,c,2,7.6,0.36,0.96,10.7,0.1,0.44,0.07,1,1,PICO,ABLA,3,3,,,40.64,1287,0.52,red
All,26,BJH,2011,2012,1,east,East10,26,Extraction,1256,1218,845,812,875,842,516,459,0.48571,-115.002,45.8329,1920,20,43,0.424849,25.69,14.82,17,crown,d,3,8.48,0.33,1,8.9,0.6,0.85,0.09,1,1,PSME,PICO,2,2,,,37.85,1669,0.34,red
All,27,BJH,2011,2012,1,east,East11,27,Extraction,1169,1176,760,763,790,793,475,468,0.45614,-115.008,45.8337,2035,13,347,0.639067,19.41,10.08,11.14,crown,d,3,16.56,0.85,1,17.7,0,0.82,0.11,1,1,ABLA,PICO,3,3,,,19.01,1952,0.21,red
All,28,BJH,2011,2012,1,east,East12,28,Extraction,1364,1342,736,757,766,787,455,454,0.31532,-115.015,45.8339,2054,12,124,0.707004,18.77,13.21,15.59,crown,d,3,15.04,0.8,1,15.3,0,0.92,0.05,1,1,PICO,ABLA,3,3,,,27.55,1443,0.43,red
All,18,BJH,2011,2012,1,east,East2,18,Extraction,1272,1259,690,546,720,576,406,291,0.32,-115.03,45.8691,1944,21,100,0.577457,19.41,12.64,14.01,crown,d,3,14.96,0.77,1,8.2,0.6,0.88,0.05,1,1,PICO,ABLA,3,3,,,23.31,1514,0.25,red
All,19,BJH,2011,2012,1,east,East3,19,Extraction,611,640,323,NA,353,NA,157,NA,0.33333,-115.028,45.8656,1976,11,279,0.81297,17.9,14.23,16.07,lightsurf,b,1,1.23,0.07,0.61,19.7,0,0.4,0.22,0.32,0.53,PICO,,3,3,,,37.27,1839,0.5,red
All,20,BJH,2011,2012,1,east,East4,20,Extraction,764,769,522,497,552,527,212,239,0.52273,-115.026,45.8615,1979,13,261,0.852427,22.96,11.52,11.96,lightsurf,b,1,2.26,0.1,0.51,13.9,0.2,0.24,0.24,0.44,0.57,PICO,PSME,3,3,,,23.34,2080,0.03,red
All,21,BJH,2011,2012,1,east,East5,21,Extraction,868,790,568,483,598,513,336,236,0.47475,-115.021,45.8583,1963,30,71,0.383831,22.03,11.67,12.1,sevsurf,c,2,4.61,0.21,0.92,12.4,0.4,0.37,0.22,1,1,PICO,ABLA,3,3,,,25.55,2221,0.09,red
All,22,BJH,2011,2012,1,east,East6,22,Extraction,388,457,279,264,309,294,103,120,0.63158,-115.022,45.85,1998,17,279,0.869662,23.18,13.14,13.62,lightsurf,b,1,1.18,0.05,0.57,22.8,0,0.18,0.37,0.33,0.51,PIEN,ABLA,3,3,,,38.32,2631,0,red
All,23,BJH,2011,2012,1,east,East7,23,Extraction,947,838,664,503,694,533,302,243,0.53623,-115.023,45.8451,2016,17,305,0.787668,33.19,22.51,21.58,sevsurf,c,2,5.25,0.16,0.99,12,0.1,0.49,0.08,1,1,PICO,,3,3,,,61.05,1669,0.09,red
All,24,BJH,2011,2012,1,east,East8,24,Extraction,539,659,289,345,319,375,118,115,0.35,-115.021,45.8412,2027,11,231,0.814892,21.01,16.91,18.35,lightsurf,b,1,1.15,0.05,0.72,21,0.1,0.36,0.19,0.29,0.52,PICO,,3,3,,,43.75,1655,0.35,red
All,25,BJH,2011,2012,1,east,East9,25,Extraction,869,942,609,512,639,542,344,281,0.54054,-115,45.8304,1935,22,233,0.918897,26.02,18.34,18.14,sevsurf,c,2,9.97,0.38,1,9.1,0.4,0.64,0.02,1,1,PSME,ABGR,2,2,,,32.9,1273,0.11,red
All,1,BJH,2011,2012,1,fort,fort1,1,Stripping,NA,NA,NA,NA,NA,NA,NA,NA,0.625,-113.808,46.261,2173,25,300,0.827463,22.27,11.71,13.53,sevsurf,c,2,9.87,0.44,1,18.2,0.4,0.59,0.15,1,1,ABLA,PIFL,3,3,,,33.34,2320,0.29,gray
All,10,BJH,2011,2012,1,fort,fort10,10,Extraction,940,822,627,547,652,572,445,302,0.48148,-113.917,46.2001,2116,18,319,0.725946,26.67,21.73,21.69,crown,d,3,19.92,0.75,1,7.8,1.2,0.75,0.02,1,1,PSME,ABLA,2,2,,,52.25,1415,0.04,gray
All,11,BJH,2011,2012,1,fort,fort11,11,Extraction,1006,981,747,704,772,729,408,386,0.58824,-113.898,46.2154,2290,17,333,0.667293,21.78,18.11,19.45,crown,d,3,18.04,0.83,1,12.3,0.6,0.63,0.18,1,1,PICO,ABLA,3,3,,,38.64,1302,0.22,gray
All,12,BJH,2011,2012,1,fort,fort12,12,Extraction,963,1083,624,747,649,772,397,398,0.45455,-113.882,46.2512,2344,9,255,0.801035,24.22,15.36,18,sevsurf,c,2,12.21,0.5,0.89,13.4,0.5,0.67,0.21,1,1,ABLA,PIFL,3,3,,,42.45,1669,0.36,gray
All,13,BJH,2011,2012,1,fort,fort13,13,Extraction,152,70,79,22,104,47,31,-17,0.46667,-113.887,46.2499,2292,20,338,0.632908,20.87,13.44,15.48,lightsurf,b,1,0.93,0.04,0.43,26.6,0,0.18,0.57,0.47,0.41,PIFL,ABLA,3,3,,,55.9,2971,0.25,gray
All,14,BJH,2011,2012,1,fort,fort14,14,Extraction,865,979,459,580,484,605,398,387,0.31343,-113.892,46.2459,2386,29,305,0.801842,24.98,17.74,21.22,sevsurf,c,2,7.73,0.31,0.93,10.7,1,0.84,0.04,1,1,PIFL,ABLA,3,3,,,61.54,1740,0.43,gray
All,15,BJH,2011,2012,1,fort,fort15,15,Extraction,896,850,630,581,655,606,303,303,0.53488,-113.898,46.2427,2332,31,27,0.346213,24.51,13.7,14.27,sevsurf,c,2,11.05,0.45,0.99,14.9,0.4,0.56,0.22,1,1,ABLA,PICO,3,3,,,33.68,2108,0.05,gray
All,16,BJH,2011,2012,1,fort,fort16,16,Stripping,NA,NA,NA,NA,NA,NA,NA,NA,0.50562,-113.895,46.2386,2299,13,279,0.827208,21.01,7.73,8.65,lightsurf,b,1,1.97,0.09,0.41,19.3,0,0.2,0.59,0.33,0.35,PICO,ABLA,3,3,,,22.09,3763,0.08,gray
All,2,BJH,2011,2012,1,fort,fort2,2,Stripping,NA,NA,NA,NA,NA,NA,NA,NA,0.6,-113.803,46.2611,2266,14,176,0.844764,24.79,20.27,22.85,crown,d,3,18.05,0.73,1,12.5,1.8,0.92,0.03,1,1,ABLA,PICO,3,3,,,46.39,1132,0.33,gray
All,3,BJH,2011,2012,1,fort,fort3,3,Interpolation,1236,NA,933,NA,958,NA,,823,0.6,-113.797,46.2608,2232,25,278,0.927551,23.39,17.34,18.74,crown,d,3,17.71,0.76,1,8.1,2,0.95,0.01,1,1,ABLA,PICO,3,3,,,44.84,1627,0.23,gray
All,4,BJH,2011,2012,1,fort,fort4,4,Extraction,678,667,495,470,520,495,307,277,0.58824,-113.793,46.2635,2265,14,260,0.858493,24.88,24.64,24.74,sevsurf,c,2,13.49,0.54,0.89,12.7,1.1,0.54,0.25,1,1,ABLA,PIEN,3,3,,,44.85,934,0.12,gray
