fire_year,FIRE,plotname,PLOT,RdNBR,RdNBR_BL,dNBR,dNBR_BL,RBR,RBR_BL,pre_NBR,lat,slope,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEVNUM,CHARHT_percMax,BOLESCORCH,CHARCOV,Firemort.BA.p,Firemort.trees.p,ba_ha,stems_ha,RedGrayGreenStage.BA.p
2011,east,East10,26,1256,1218,845,812,588,575,0.48571,45.8329,20,0.424849,25.69,14.82,17,3,0.33,1,0.85,1,1,37.85,1669,0.34
2011,east,East11,27,1169,1176,760,763,542,546,0.45614,45.8337,13,0.639067,19.41,10.08,11.14,3,0.85,1,0.82,1,1,19.01,1952,0.21
2011,east,East12,28,1364,1342,736,757,581,590,0.31532,45.8339,12,0.707004,18.77,13.21,15.59,3,0.8,1,0.92,1,1,27.55,1443,0.43
2011,lutz,lutz1,29,NA,NA,NA,NA,NA,NA,0.33333,46.1896,16,0.850152,20.02,15.57,15.81,1,0.11,0.74,0.36,0.54,0.78,40.8,2080,0.11
2011,lutz,lutz2,30,405,394,195,203,165,147,0.26829,46.1901,12,0.759406,19.26,15.98,16.13,1,0.05,0.48,0.26,0.59,0.71,32.95,1613,0.1
2011,lutz,lutz3,31,NA,NA,NA,NA,NA,NA,0.53571,46.1838,9,0.77909,22.5,8.59,10.09,2,0.18,0.98,0.31,1,1,25.24,3155,0.3
2011,lutz,lutz4,32,767,701,520,533,359,378,0.48649,46.1809,11,0.822937,21.27,15.18,16.5,2,0.41,0.99,0.31,1,1,39.31,1839,0.24
2011,lutz,lutz5,33,1225,1311,940,1021,593,620,0.60784,46.1781,6,0.759044,20.31,12.5,13.25,3,1,1,0.93,1,1,37.44,2716,0.14
2011,puzz,Puzz1,34,689,708,502,NA,336,346,0.65385,48.2142,26,0.953279,30.54,23.48,24.98,2,0.27,0.92,0.69,1,1,61.68,1259,0.17
2011,puzz,Puzz2,35,-49,24,-93,-36,-24,-21,0.5814,48.214,20,0.792275,24.12,16.35,20.26,1,0.06,0.57,0.27,0.55,0.64,68.82,2136,0.51
2011,puzz,Puzz3,36,725,780,421,464,332,359,0.43182,48.2138,15,0.836075,22.85,11.73,13.73,3,0.49,1,0.84,1,1,35.4,2391,0.31
2011,puzz,Puzz4,37,NA,NA,NA,NA,NA,NA,0.31373,48.2095,13,0.703582,22.73,10.66,12.69,3,0.61,1,0.39,1,1,25.38,2009,0.35
2011,puzz,Puzz5,38,746,670,517,445,360,350,0.58763,48.2045,14,0.817887,23.61,11.93,14.45,1,0.15,0.35,0.23,0.71,0.63,27.61,1684,0
2011,puzz,Puzz6,39,,NA,NA,NA,NA,NA,0.55102,48.2009,22,0.843889,29.76,12.48,18.25,2,0.18,1,0.67,1,1,36.63,1401,0.56
2011,puzz,Puzz7,40,,NA,NA,NA,NA,NA,0.60417,48.2018,21,0.88206,24.02,18.06,18.14,2,0.31,0.91,0.49,1,1,36.93,1429,0.04
2011,puzz,Puzz8,41,811,651,614,489,397,374,0.68,48.2041,20,0.897407,29.76,26.97,27.07,3,0.7,1,0.85,1,1,73.26,1273,0.11
2011,puzz,Puzz9,42,266,429,156,289,129,134,0.62857,48.2104,19,0.862163,28.78,17.45,17.3,1,0.16,0.75,0.18,0.48,0.66,40.56,1726,0.02
2011,puzz,Puzz10,43,NA,NA,NA,NA,NA,NA,0.60606,48.2105,23,0.926239,22.03,13.46,15.53,3,0.75,1,0.89,1,1,40.72,2150,0.31
2011,puzz,Puzz11,44,713,840,541,588,350,360,0.69811,48.2074,29,0.86611,29.16,27.69,30.4,2,0.38,1,0.74,1,1,62.63,863,0.32
2011,puzz,Puzz12,45,664,459,486,317,325,263,0.66265,48.2073,22,0.882074,27.85,22.97,23.36,1,0.16,0.7,0.23,0.84,0.53,39.98,934,0
2011,rr,rr1,46,559,458,448,183,262,206,0.483870968,43.5575,11,0.690472,17.7,14.32,15.39,2,0.37,1,0.43,1,1,35.51,1910,0.21
2011,rr,rr2,47,1088,1054,907,850,527,510,0.607843137,43.5542,12,0.56889,19.9,14.14,15.22,3,0.7,1,0.84,1,1,30.6,1684,0.25
2011,rr,rr3,48,NA,NA,NA,NA,NA,NA,0.512195122,43.5522,13,0.62106,21.8,11.69,14.34,3,1,1,0.84,1,1,37.88,2348,0.41
2011,rr,rr4,49,1120,1114,937,863,544,534,0.614035088,43.5387,21,0.466539,17,9.73,12.33,2,0.75,1,0.81,1,1,24.13,2023,0.46
2011,rr,rr5,50,1137,1144,666,618,472,481,0.285714286,43.5419,17,0.501656,20.7,16.9,21.77,3,0.75,1,0.93,1,1,33.69,905,0.58
2011,rr,rr6,51,348,439,294,340,162,209,0.454545455,43.5805,16,0.55528,19.1,19.27,22.77,2,0.4,1,0.34,1,1,43.17,1061,0.51
2011,rr,gh1,52,961,958,652,507,429,429,0.38095,43.6145,12,0.857285,22.1,18.38,22.37,3,1,1,0.96,1,1,56.13,1429,0.7
2011,rr,gh2,53,NA,NA,NA,NA,NA,NA,0,43.617,18,0.932219,26.8,30.31,30.85,1,0.22,0.92,0.35,0.23,0.43,68.68,920,0.29
2011,rr,gh3,54,867,934,588,639,385,407,0.37209,43.6137,8,0.821092,26.2,16.68,22.41,2,0.5,1,0.58,1,1,44.06,1118,0.6
2011,rr,rr7,55,1277,1205,1011,745,612,578,0.555555556,43.5774,10,0.665012,23.1,17.64,19.56,3,1,1,0.94,1,1,51.82,1726,0.37
2011,rr,rr8,56,-13,6,48,114,-6,3,0.636363636,43.5682,2,0.706261,25.4,16.06,17.8,1,0.11,0.75,0.25,0.43,0.57,48.55,1952,0.27
2011,rr,rr9,57,668,558,671,556,333,278,0.837837838,43.5599,11,0.572491,24.1,25.55,25.76,2,0.53,0.96,0.15,1,1,63.35,1217,0.31
2011,rr,rr10,58,339,404,333,340,166,200,0.653846154,43.5654,10,0.578615,16.8,9.25,10.16,3,0.71,1,0.9,1,1,47.27,5829,0.21
2011,rr,rr11,59,-8,-22,53,9,-3,-10,0.541666667,43.5807,10,0.681954,22.6,18.52,19.6,1,0.16,0.93,0.12,0.77,0.88,49.47,1641,0.34
2011,rr,rr12,60,443,320,407,165,215,155,0.615384615,43.5752,11,0.69852,22.8,18.4,22.31,2,0.51,0.97,0.47,1,1,52.54,1344,0.66
2011,rr,rr13,61,317,314,314,241,155,155,0.647058824,43.5722,11,0.814458,21.5,15.79,16.69,2,0.5,1,0.26,1,1,38.05,1740,0.24
2011,rr,rr14,62,1272,1261,992,828,606,594,0.538461538,43.57,10,0.581992,23.2,17.09,22.03,3,0.8,1,0.49,1,1,41.52,1089,0.66
2011,rr,rr15,63,450,360,429,529,221,177,0.674418605,43.5746,14,0.533132,18.6,15.21,15.57,3,0.74,1,0.88,1,1,34.18,1797,0.13
2011,rr,rr16,64,1163,1133,984,935,566,549,0.632653061,43.5768,8,0.737496,21.9,18.3,19.29,3,0.9,1,0.85,1,1,39.28,1344,0.22
