NoStrat,KEY,dataset,fire_year,sample_year,sample_gap_yr,FIRE,plotname,PLOT,ValueFrom,RDNBR_orig,RdNBR,RdNBR_BL,dNBR_1018_use,dNBR_BL_1018_use,dNBR_Offset,dNBR_Offset_BL,RBR,RBR_BL,preNBR,comments,lon,elev,slope,aspect,lat,lat_rad,slope_rad,aspect_rad,FoldedAspect,ln_HeatLoad,HeatLoad,solrad,forest3,forest2,Easting,Northing,MaxTreeHeight,QMD_LAF,QMD_all,RDNBR,FIRESEV,FIRESEVCODE,FIRESEVNUM,CHARHT,CHARHT_percMax,BOLESCORCH,LITTDUFFMM,SOILCHARMM,CHARCOV,LiveVegCov,Firemort.BA.p,Firemort.trees.p,over1,over2,FieldClass,FieldClass2,under1,under2,picolive,ablalive,pienlive,pifllive,psmelive,picobk,ablabk,pienbk,piflbk,psmebk,BABK_p,basal.area,ba_ha,stems_ha,stems,RedGrayStage.BA,RedGrayStage.BA.p,RedGrayStage.trees,RedGrayStage.trees.p,GreenAttack.BA,GreenAttack.BA.p,GreenAttack.trees,GreenAttack.trees.p,RedGrayGreenStage.BA,RedGrayGreenStage.BA.p,RedGrayGreenStage.trees,RedGrayGreenStage.trees.p,OutbreakStage,snag.BA,snag.BA.p,snag.trees,snag.trees.p,FireKill.BA,FireKill.BA.p,FireKill.trees,FireKill.trees.p,live.BA,live.BA.p,live.trees,live.trees.p,LAF.trees,LAF.trees.p,LAF.BA,LAF.BA.p,abla.trees,abla.trees.p,abla.BA,abla.BA.p,pifl.trees,pifl.trees.p,pifl.BA,pifl.BA.p,unk.trees,unk.trees.p,unk.BA,unk.BA.p,pico.trees,pico.trees.p,pico.BA,pico.BA.p,pien.trees,pien.trees.p,pien.BA,pien.BA.p,psme.trees,psme.trees.p,psme.BA,psme.BA.p,abgr.trees,abgr.trees.p,abgr.BA,abgr.BA.p,pial.trees,pial.trees.p,pial.BA,pial.BA.p,potr.trees,potr.trees.p,potr.BA,potr.BA.p,pipo.trees,pipo.trees.p,pipo.BA,pipo.BA.p,pisp.trees,pisp.trees.p,pisp.BA,pisp.BA.p,sasp.trees,sasp.trees.p,sasp.BA,sasp.BA.p,jusp.trees,jusp.trees.p,jusp.BA,jusp.BA.p,pipu.trees,pipu.trees.p,pipu.BA,pipu.BA.p,abco.trees,abco.trees.p,abco.BA,abco.BA.p,stems10,stems_ha10,BKBApico,BKBAabla,BKBApien,BKBApsme,BKBApialfl,BKBA_DC1,BKBA_DC2,BKBA_DC2_pico,DC2_pico,BA_DC1,BA_DC2,need_remain_LAF_avg,total_BA_DC1p,total_BA_DC2p,picoBABK.p,ablaBABK.p,pienBABK.p,psmeBABK.p,pialfl.BA,pialflBABK.p
All,197,BJH,2008,2010,2,newfork,11,197,Extraction,381,381,339,259,232,248,221,159,118,0.42222,,-109.915,2590,6,186,43.0835,0.751948928,0.104719755,3.246312409,2.460914245,-0.213446836,0.807795,659638,2,2,588344,4770660,22.5,16.68,16.51,381,lightsurf,b,1,0.7,0.03,0.78,25.2,7.9,0.06,0.29,0.89,0.92,PICO,,3,3,,,,,,,,,,,,,,2.72,38.45,1797,127,0.12,0.05,5,0.04,0,0,0,0,0.12,0.05,5,0.04,greenattack,0.02,0.01,4,0,2.3,0.8,108,0.85,0.28,0.1,10,0.08,118,0.93,2.58,0.95,0,0,0,0,0,0,0,0,0,0,0,0,122,0.96,2.71,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,88,1245,0.12,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.05,NA,NA,NA,0.01,0
All,198,BJH,2008,2010,2,newfork,12,198,Extraction,862,862,879,586,593,575,582,384,441,0.44444,,-109.913,2589,7,157,43.0837,0.751952419,0.122173048,2.740166926,1.954768762,-0.226634086,0.797212,661725,3,3,588490,4770679,23.9,10.56,11.38,862,sevsurf,c,2,11.8,0.49,1,9.2,11,0.35,0.05,1,1,PICO,PIAL,3,3,,,,,,,,,,,,,,2.12,30.04,2957,209,0.21,0.1,4,0.02,0.15,0.07,3,0.01,0.36,0.1,7,0.02,greenattack,0.01,0.01,2,0,1.7,0.8,200,0.96,0,0,0,0,200,0.96,1.75,0.82,0,0,0,0,0,0,0,0,1,0,0.01,0,135,0.65,1.56,0.73,0,0,0,0,0,0,0,0,0,0,0,0,73,0.35,0.56,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,72,1019,0.32,0,0,0,0.04,0,0,0,0,0,0,NA,0,0,0.21,NA,NA,NA,0.56,0.07
All,199,BJH,2008,2010,2,newfork,13,199,Extraction,1114,1114,1115,789,793,778,782,509,471,0.48718,,-109.91,2599,12,267,43.0837,0.751952419,0.20943951,4.660029103,2.408554368,-0.13127802,0.876974,621515,2,2,588716,4770685,22,15.08,17.06,1114,crown,d,3,19.8,0.9,1,1.3,7.8,0.58,0.09,1,1,PICO,,3,3,,,,,,,,,,,,,,1.83,25.85,1132,80,0.48,0.26,9,0.11,0.19,0.11,6,0.08,0.67,0.26,15,0.11,greenattack,0.01,0.01,1,0,1.1,0.6,64,0.8,0,0,0,0,64,0.8,1.14,0.63,0,0,0,0,0,0,0,0,0,0,0,0,77,0.96,1.8,0.99,0,0,0,0,0,0,0,0,0,0,0,0,3,0.04,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,54,764,0.67,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.37,NA,NA,NA,0.03,0
All,200,BJH,2008,2010,2,newfork,14,200,Extraction,1141,1141,1166,824,814,813,803,526,555,0.50725,,-109.912,2584,9,149,43.0837,0.751952419,0.157079633,2.600540585,1.815142422,-0.222886027,0.800206,664136,2,2,588595,4770682,19.6,11.46,11.69,1141,crown,d,3,17.5,0.89,1,4.9,16.4,0.65,0,1,1,PICO,,3,3,,,,,,,,,,,,,,2.31,32.64,3042,215,0.06,0.02,2,0.01,0.11,0.05,4,0.02,0.17,0.02,6,0.01,greenattack,0.03,0.01,4,0,2.1,0.9,205,0.95,0,0,0,0,205,0.95,2.11,0.92,1,0,0,0,0,0,0,0,0,0,0,0,214,1,2.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,107,1514,0.17,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.07,0,NA,NA,0,NA
All,201,BJH,2008,2010,2,newfork,15,201,Extraction,297,362,312,256,221,245,210,154,153,0.45679,,-109.914,2608,12,162,43.0848,0.751971618,0.20943951,2.827433388,2.042035225,-0.164893242,0.847984,686332,2,2,588431,4770800,21.8,14.86,14.76,297,sevsurf,c,2,1.1,0.05,0.84,20.9,11.3,0.1,0.09,0.98,0.98,PICO,,3,3,,,,,,,,,,,,,,2.51,35.56,2080,147,0.03,0.01,1,0.01,0,0,0,0,0.03,0.01,1,0.01,greenattack,0.01,0,3,0,2.4,1,140,0.95,0.06,0.02,3,0.02,143,0.97,2.48,0.99,0,0,0,0,0,0,0,0,0,0,0,0,128,0.87,2.44,0.97,0,0,0,0,0,0,0,0,0,0,0,0,19,0.13,0.08,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,85,1203,0.03,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.01,NA,NA,NA,0.08,0
All,202,BJH,2008,2010,2,newfork,16,202,Extraction,162,279,231,194,160,183,149,113,110,0.42857,,-109.912,2603,7,146,43.085,0.751975108,0.122173048,2.548180708,1.762782545,-0.245581238,0.78225,658959,3,3,588586,4770824,21.8,18.62,18.69,162,lightsurf,b,1,1.1,0.05,0.64,25.3,6.8,0.13,0.16,0.77,0.72,PICO,,3,3,,,,,,,,,,,,,,2.17,30.66,1118,79,0.1,0.05,3,0.04,0,0,0,0,0.1,0.05,3,0.04,greenattack,0,0,0,0,1.6,0.7,55,0.7,0.48,0.22,21,0.27,76,0.96,2.07,0.95,0,0,0,0,0,0,0,0,0,0,0,0,78,0.99,2.16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,63,891,0.1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.05,NA,NA,NA,0.01,0
All,203,BJH,2008,2010,2,newfork,17,203,Extraction,380,266,300,178,208,167,197,105,151,0.39241,,-109.91,2594,6,262,43.0851,0.751976854,0.104719755,4.57276264,2.49582083,-0.212918517,0.808222,627847,3,3,588711,4770840,22.7,21.21,21.1,380,lightsurf,b,1,1.8,0.08,0.55,18.5,2.3,0.06,0.38,0.85,0.82,PICO,,3,3,,,,,,,,,,,,,,2.03,28.67,821,58,0.05,0.02,2,0.03,0,0,0,0,0.05,0.02,2,0.03,greenattack,0,0,0,0,1.7,0.8,46,0.79,0.3,0.15,10,0.17,56,0.97,1.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,49,0.84,1.91,0.94,0,0,0,0,0,0,0,0,0,0,0,0,9,0.16,0.12,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,49,693,0.05,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.03,NA,NA,NA,0.12,0
All,204,BJH,2008,2010,2,newfork,18,204,Extraction,492,492,517,281,297,270,286,191,235,0.30121,,-109.909,2603,7,269,43.086,0.751992562,0.122173048,4.694935688,2.373647783,-0.20082935,0.818052,622929,2,2,588774,4770937,20.8,15.96,15.69,492,sevsurf,c,2,2.3,0.11,0.8,15.5,8.2,0.05,0.3,1,1,PICO,,3,3,,,,,,,,,,,,,,1.97,27.89,1443,102,0,0,0,0,0,0,0,0,0,0,0,0,greenattack,0.05,0.03,6,0.1,1.9,1,96,0.94,0,0,0,0,96,0.94,1.92,0.97,0,0,0,0,0,0,0,0,0,0,0,0,102,1,1.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,75,1061,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA
All,205,BJH,2008,2010,2,newfork,19,205,Extraction,1160,1088,1108,785,772,774,761,500,461,0.50649,,-109.908,2626,14,287,43.0854,0.75198209,0.244346095,5.009094953,2.059488517,-0.143193639,0.866586,591381,2,2,588862,4770881,21.1,14.85,15.24,1160,crown,d,3,18.5,0.88,1,5.7,13.2,0.72,0.04,1,1,PICO,,3,3,,,,,,,,,,,,,,2.15,30.42,1669,118,0.34,0.16,15,0.13,0.14,0.06,4,0.03,0.48,0.16,19,0.13,greenattack,0.03,0.01,4,0,1.6,0.8,95,0.81,0,0,0,0,95,0.81,1.64,0.76,0,0,0,0,0,0,0,0,1,0.01,0,0,117,0.99,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,88,1245,0.48,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.22,NA,NA,NA,0,NA
All,206,BJH,2008,2010,2,newfork,20,206,Extraction,1054,1054,1040,736,721,725,710,478,351,0.47368,,-109.908,2629,13,271,43.0864,0.751999543,0.226892803,4.729842273,2.338741198,-0.123160279,0.884122,615615,2,2,588890,4770983,23.9,13.32,16.3,1054,crown,d,3,20.3,0.85,1,3.3,14,0.78,0.08,1,1,PICO,,3,3,,,,,,,,,,,,,,2.17,30.69,1471,104,0.93,0.43,14,0.13,0.02,0.01,1,0.01,0.96,0.43,15,0.13,greenattack,0.02,0.01,3,0,1.2,0.6,86,0.83,0,0,0,0,86,0.83,1.2,0.55,0,0,0,0,0,0,0,0,3,0.03,0,0,100,0.96,2.15,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,57,806,0.96,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.45,NA,NA,NA,0,NA
